id;name;gender;birthday;email;phoneNumber;school;job;major;level;
6;Margaret;F;2006-04-15;8gc1bv@gmail.com;01047772224;xgsysz Univ;S;N;5
7;Ida;F;1988-07-10;dlcd0a@gmail.com;01075235469;wucwno Univ;S;Y;4
8;Alice;F;1962-12-08;rjcyw5@gmail.com;01038782718;ezjmre Univ;N;Y;0
9;Bertha;M;1974-08-30;j924ia@gmail.com;01014328123;xlzwpi Univ;D;Y;4
10;Sarah;F;2007-09-09;ki1xmf@gmail.com;01044824485;sqsmmq Univ;S;N;2
11;Annie;F;1986-06-25;tkm03r@gmail.com;01014976699;ntaemj Univ;N;N;4
12;Clara;M;2010-05-28;zn5ufw@gmail.com;01079470457;cbijno Univ;S;N;0
13;Ella;F;2007-09-17;1fs29j@gmail.com;01040239186;gxwopy Univ;N;N;0
14;Florence;F;1999-02-01;kiesoi@gmail.com;01072306662;ftzlua Univ;D;Y;2
15;Cora;M;1975-01-26;e624qc@gmail.com;01073894563;apzvpm Univ;S;Y;2
16;Martha;F;1979-04-14;bz3v2z@gmail.com;01086313052;btyukb Univ;S;N;5
17;Laura;M;1989-01-09;o7pbv8@gmail.com;01024434923;ynnoun Univ;D;Y;1
18;Nellie;M;1963-07-27;5jvjqv@gmail.com;01022254127;trdide Univ;D;N;0
19;Grace;M;1965-08-23;0jn1o0@gmail.com;01041195204;cjvvrq Univ;D;Y;3
20;Carrie;F;1978-09-28;3aqncq@gmail.com;01021280558;pjdgzd Univ;S;N;2
21;Maude;M;2006-05-28;k2msad@gmail.com;01039362313;lpfhku Univ;N;N;3
22;Mabel;M;1987-06-20;xbq0su@gmail.com;01078900774;wrxwkk Univ;D;N;3
23;Bessie;M;1991-03-22;mcrfbr@gmail.com;01070474977;edchdf Univ;D;Y;3
24;Jennie;F;1972-06-05;p61ear@gmail.com;01099763152;fkbnhd Univ;D;Y;5
25;Gertrude;M;1973-08-21;lpq7ej@gmail.com;01088940688;agtfpn Univ;S;Y;2
26;Julia;F;1999-03-11;sjeyg9@gmail.com;01075974435;eetpqk Univ;S;N;4
27;Hattie;M;1978-02-23;bcavz9@gmail.com;01018592842;ynletj Univ;D;Y;1
28;Edith;F;1974-10-10;hittqc@gmail.com;01047502343;gctjju Univ;D;N;0
29;Mattie;F;1998-12-06;3uu50f@gmail.com;01023225261;cyuooa Univ;S;Y;0
30;Rose;F;1974-04-12;82r8o1@gmail.com;01078934917;zibgzj Univ;N;N;2
31;Catherine;M;1984-08-19;idxmh4@gmail.com;01031997564;awvraa Univ;S;Y;1
32;Lillian;M;1984-06-20;wqvmpd@gmail.com;01038398056;gwxnud Univ;D;N;5
33;Ada;M;1974-05-18;o2hb7k@gmail.com;01068156520;xtslsc Univ;D;N;3
34;Lillie;F;1975-05-18;ghm4p1@gmail.com;01052112157;mbflzk Univ;S;N;3
35;Helen;F;2013-04-12;cj0j7s@gmail.com;01099896846;nseuwa Univ;N;Y;3
36;Jessie;F;2019-07-27;0fhglp@gmail.com;01075176181;qchjpa Univ;D;Y;5
37;Louise;F;1969-12-15;ez1ng3@gmail.com;01073802575;afvsoa Univ;S;N;3
